target_col,feature_label,split_type,split_id,model_name,task_type,n,p,n_train,n_test,model_params,test_spearman,test_pearson,test_r2,test_mae,test_rmse,train_spearman,train_pearson,train_r2,train_mae,train_rmse
foldchange_NBD_activity_25C,georgiev,random,2,xgboost,regression,282,4617,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.716,0.6117,0.3448,0.3337,0.5067,0.964,0.963,0.9236,0.1148,0.1781
foldchange_NBD_activity_25C,georgiev,random,3,rf,regression,282,4617,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.647,0.6257,0.3842,0.4036,0.561,0.9719,0.9698,0.9229,0.1219,0.1724
foldchange_NBD_activity_25C,georgiev,random,3,ridge,regression,282,4617,226,56,{'alpha': 1.0},0.6605,0.6722,0.4473,0.3673,0.5315,0.9075,0.8958,0.8025,0.1594,0.276
foldchange_NBD_activity_25C,georgiev,random,3,xgboost,regression,282,4617,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.6744,0.6779,0.4542,0.3809,0.5281,0.9592,0.9526,0.9029,0.1163,0.1936
foldchange_NBD_activity_25C,georgiev,random,4,rf,regression,282,4617,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.6892,0.6788,0.4354,0.3338,0.4621,0.9715,0.969,0.92,0.1294,0.1818
foldchange_NBD_activity_25C,georgiev,random,4,ridge,regression,282,4617,226,56,{'alpha': 1.0},0.7488,0.7528,0.5157,0.3312,0.428,0.8897,0.8786,0.7719,0.1703,0.3071
foldchange_NBD_activity_25C,georgiev,random,4,xgboost,regression,282,4617,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.7899,0.7614,0.5628,0.2757,0.4067,0.9566,0.9527,0.9016,0.126,0.2016
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,0,rf,regression,282,4861,225,57,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.6048,0.5484,0.1427,0.4009,0.5918,0.974,0.9704,0.9285,0.1181,0.1709
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,0,ridge,regression,282,4861,225,57,{'alpha': 1.0},0.7223,0.7089,0.4694,0.3268,0.4655,0.8825,0.8585,0.7326,0.2165,0.3306
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,0,xgboost,regression,282,4861,225,57,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.5716,0.5483,0.1403,0.3977,0.5926,0.9872,0.9883,0.9717,0.0764,0.1076
