target_col,feature_label,split_type,model_name,task_type,n_test_pooled,n_folds,test_spearman,test_pearson,test_r2,test_mae,test_rmse
foldchange_NBD_activity_25C,onehot,random,mlp_sklearn,regression,282,5,0.6909,0.6485,0.4026,0.3668,0.4954
foldchange_NBD_activity_25C,onehot,random,mlp_pytorch,regression,282,5,0.6743,0.6548,0.4237,0.3537,0.4865
foldchange_NBD_activity_25C,onehot,custom,mlp_sklearn,regression,52,1,0.4779,0.4777,-0.6786,3.1397,3.7258
foldchange_NBD_activity_25C,onehot,custom,mlp_pytorch,regression,52,1,0.6256,0.6391,-1.2163,3.5458,4.2812
foldchange_ABTS_activity_25C,onehot,random,mlp_sklearn,regression,282,5,0.6211,0.6175,0.3731,0.4825,0.859
foldchange_ABTS_activity_25C,onehot,random,mlp_pytorch,regression,282,5,0.5042,0.4171,0.163,0.5434,0.9926
foldchange_ABTS_activity_25C,onehot,custom,mlp_sklearn,regression,52,1,0.615,0.5874,0.0603,0.7093,0.891
foldchange_ABTS_activity_25C,onehot,custom,mlp_pytorch,regression,52,1,0.6457,0.6083,0.2499,0.6304,0.7961
