target_col,feature_label,split_type,model_name,task_type,n_test_pooled,n_folds,test_spearman,test_pearson,test_r2,test_mae,test_rmse
foldchange_ABTS_activity_25C,onehot,random,rf,regression,282,5,0.7151,0.5849,0.3348,0.4573,0.8849
foldchange_ABTS_activity_25C,onehot,random,ridge,regression,282,5,0.6793,0.6275,0.3707,0.4864,0.8607
foldchange_ABTS_activity_25C,onehot,random,xgboost,regression,282,5,0.6906,0.5075,0.2117,0.4796,0.9633
foldchange_ABTS_activity_25C,georgiev,random,rf,regression,282,5,0.6854,0.573,0.3207,0.4664,0.8942
foldchange_ABTS_activity_25C,georgiev,random,ridge,regression,282,5,0.671,0.6171,0.3292,0.5131,0.8886
foldchange_ABTS_activity_25C,georgiev,random,xgboost,regression,282,5,0.7296,0.5263,0.2314,0.4697,0.9512
foldchange_ABTS_activity_25C,onehot_esm2_LLR,random,rf,regression,282,5,0.7269,0.6585,0.4307,0.4389,0.8186
foldchange_ABTS_activity_25C,onehot_esm2_LLR,random,ridge,regression,282,5,0.6963,0.6397,0.3843,0.483,0.8513
foldchange_ABTS_activity_25C,onehot_esm2_LLR,random,xgboost,regression,282,5,0.7093,0.6298,0.394,0.4437,0.8446
foldchange_ABTS_activity_25C,onehot_esmc_LLR,random,rf,regression,282,5,0.7485,0.6398,0.4073,0.4376,0.8353
foldchange_ABTS_activity_25C,onehot_esmc_LLR,random,ridge,regression,282,5,0.7044,0.64,0.3848,0.483,0.851
foldchange_ABTS_activity_25C,onehot_esmc_LLR,random,xgboost,regression,282,5,0.7354,0.5908,0.3004,0.4666,0.9075
foldchange_ABTS_activity_25C,esm2_seq_embeddings,random,rf,regression,282,5,0.627,0.5504,0.2939,0.5181,0.9117
foldchange_ABTS_activity_25C,esm2_seq_embeddings,random,ridge,regression,282,5,0.4657,0.4781,0.0903,0.6146,1.0348
foldchange_ABTS_activity_25C,esm2_seq_embeddings,random,xgboost,regression,282,5,0.6478,0.5054,0.195,0.5298,0.9735
foldchange_ABTS_activity_25C,esmc_seq_embeddings,random,rf,regression,282,5,0.6259,0.5489,0.2898,0.5089,0.9143
foldchange_ABTS_activity_25C,esmc_seq_embeddings,random,ridge,regression,282,5,0.4386,0.2822,-2.6065,1.1306,2.0604
foldchange_ABTS_activity_25C,esmc_seq_embeddings,random,xgboost,regression,282,5,0.6127,0.4805,0.0753,0.5289,1.0433
foldchange_ABTS_activity_25C,esm2_seq_embeddings_LLR,random,rf,regression,282,5,0.6289,0.5557,0.3015,0.514,0.9068
